trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
0,60,1.079041488250314,23.86,11.95,11.95
1,61,1.0765085934494523,23.75,11.9,11.9
2,64,1.0700238570347607,42.27,21.22,21.22
3,68,1.079309063424812,21.97,10.98,10.98
4,69,1.0819772209707577,23.28,11.63,11.63
5,70,1.0916817500321279,55.98,27.98,27.98
6,71,1.0944751217436248,40.67,20.33,20.33
7,75,1.0962715529345692,28.49,14.24,14.24
8,76,1.0816831039569161,52.99,26.63,26.63
9,77,1.0813553558040856,28.15,14.11,14.11
10,79,1.080394585982698,18.57,9.3,9.3
11,80,1.07774940384666,21.59,10.81,10.81
12,82,1.0713473026343305,40.76,20.46,20.46
13,83,1.0715937967784521,19.3,9.66,9.66
14,87,1.0874199472335764,63.24,31.61,31.61
15,88,1.0912374609696747,49.0,24.49,24.49
16,89,1.1029570653808338,77.36,38.67,38.67
17,90,1.1068300367891855,56.04,28.01,28.01
18,92,1.0960502270114576,20.88,10.46,10.46
19,94,1.1152205256868304,75.66,37.82,37.82
20,95,1.1132900459585895,29.22,14.6,14.6
21,97,1.0979435870266954,55.07,27.68,27.68
22,98,1.0956425290031258,38.24,19.19,19.19
23,99,1.0926127389272293,33.11,16.6,16.6
24,101,1.087751969083056,39.02,19.58,19.58
25,103,1.0881536229044626,17.73,8.88,8.88
26,105,1.0834301733944476,30.71,15.4,15.4
27,108,1.0776089561802153,42.49,21.33,21.33
28,109,1.0769048472904659,24.61,12.33,12.33
29,110,1.0850046547410563,25.08,12.53,12.53
30,113,1.087401253877354,23.53,11.76,11.76
31,115,1.0915265259489217,30.61,15.3,15.3
32,116,1.0969718704203497,40.04,20.01,20.01
33,117,1.09793848870204,24.4,12.19,12.19
34,118,1.1006315480851667,24.4,12.19,12.19
35,120,1.1061851127747167,37.24,18.61,18.61
36,121,1.1070690731657251,22.59,11.29,11.29
37,123,1.1151247517751837,47.33,23.66,23.66
38,126,1.096224073983336,62.13,31.25,31.25
39,127,1.0962873666708164,30.96,15.52,15.52
40,128,1.0954394674950858,19.41,9.72,9.72
41,129,1.0910648825207243,29.81,14.94,14.94
42,130,1.0875038719252168,31.37,15.73,15.73
43,139,1.0843467748520719,30.33,15.21,15.21
44,141,1.0934952442678758,26.74,13.36,13.36
45,142,1.0958746331788827,24.19,12.09,12.09
46,144,1.1022044978693966,40.74,20.36,20.36
47,145,1.1039333066231303,28.16,14.07,14.07
48,146,1.1056635673609316,21.88,10.93,10.93
49,149,1.1102349527286344,31.48,15.73,15.73
50,150,1.09550463915862,51.27,25.76,25.76
51,152,1.0951762398000724,27.27,13.67,13.67
52,153,1.089083449557251,41.72,20.94,20.94
53,154,1.0852207111432048,38.81,19.48,19.48
54,162,1.0938305743839551,20.02,10.0,10.0
55,163,1.0803198122300903,52.39,26.33,26.33
56,166,1.0937130659234986,35.21,17.6,17.6
57,167,1.1062655799561256,74.13,37.06,37.06
58,168,1.1117207833714056,61.41,30.7,30.7
59,169,1.114494493263395,43.07,21.53,21.53
60,170,1.1262127875131722,73.33,36.66,36.66
61,171,1.13699362059164,83.72,41.85,41.85
62,172,1.1376280034575965,44.62,22.3,22.3
63,173,1.138074876154712,24.26,12.12,12.12
64,175,1.1431990174337583,34.48,17.23,17.23
65,180,1.124095688192523,67.43,33.94,33.94
66,181,1.1212149179640425,46.87,23.54,23.54
67,184,1.117971029783966,38.12,19.13,19.13
68,185,1.1281387595003216,26.1,13.04,13.04
69,191,1.116882819235677,37.2,18.66,18.66
70,192,1.116467185937323,20.53,10.28,10.28
71,195,1.1080927232741404,48.15,24.19,24.19
72,196,1.1035634030568757,44.81,22.5,22.5
73,197,1.0969825447740895,52.63,26.45,26.45
74,198,1.0975357108839867,23.92,11.98,11.98
75,199,1.0954852458999143,21.36,10.7,10.7
76,202,1.0900527997369949,35.67,17.89,17.89
77,203,1.0853672447984322,39.56,19.85,19.85
78,205,1.0821311521077162,34.87,17.49,17.49
79,208,1.0909553496208932,23.08,11.53,11.53
80,210,1.0932648607565936,22.07,11.03,11.03
81,211,1.0858542717574826,23.01,11.53,11.53
82,212,1.094189589973138,26.64,13.31,13.31
83,216,1.0989769019419353,35.04,17.51,17.51
84,217,1.1027082442286824,34.37,17.18,17.18
85,218,1.0925286559285703,29.24,14.66,14.66
86,220,1.0998626158382478,18.77,9.38,9.38
87,222,1.1029238203139373,23.23,11.61,11.61
88,224,1.0964582712103537,17.8,8.91,8.91
89,225,1.0924349901713004,27.36,13.71,13.71
90,226,1.090729035847873,21.55,10.79,10.79
91,234,1.0854221859561282,35.29,17.7,17.7
92,235,1.0844721712747698,22.1,11.07,11.07
93,238,1.092846228777537,27.32,13.65,13.65
94,239,1.0963030108977405,29.38,14.68,14.68
95,242,1.0864850321555373,30.35,15.22,15.22
96,244,1.0738375258680393,74.28,37.41,37.41
97,246,1.0742345439728784,35.55,17.83,17.83
98,247,1.0849170317153463,31.56,15.77,15.77
99,249,1.0884343431322085,31.88,15.93,15.93
100,251,1.078416197539406,30.36,15.22,15.22
101,252,1.0777617359856329,18.27,9.15,9.15
102,254,1.0744918397264749,24.39,12.22,12.22
103,255,1.0719117565166996,24.28,12.16,12.16
104,256,1.0697128139591334,22.47,11.26,11.26
105,258,1.0646681953688881,35.0,17.56,17.56
106,261,1.0616708814911855,31.72,15.91,15.91
107,262,1.0692207181583566,19.5,9.74,9.74
108,263,1.0751799827619335,37.4,18.69,18.69
109,264,1.0811015174998018,45.98,22.98,22.98
110,265,1.085221916298753,41.88,20.93,20.93
111,266,1.0880489546717795,33.87,16.93,16.93
112,269,1.0911972471661726,31.31,15.65,15.65
113,270,1.0930564644614955,24.13,12.06,12.06
114,275,1.084750683262733,26.12,13.09,13.09
115,276,1.0830942163082014,20.76,10.4,10.4
116,279,1.076640465607221,40.43,20.29,20.29
117,280,1.0764137789010577,21.35,10.69,10.69
118,287,1.071821106700635,32.16,16.13,16.13
119,288,1.0673550897576147,37.12,18.62,18.62
120,289,1.063578766337575,36.44,18.28,18.28
121,290,1.0614069912547004,28.55,14.31,14.31
122,293,1.0600982523288993,20.5,10.27,10.27
123,295,1.0536643954389868,40.86,20.51,20.51
124,298,1.0663640010756639,39.27,19.63,19.63
125,301,1.0724613872507722,47.95,23.97,23.97
126,302,1.0775020074924742,47.25,23.62,23.62
127,303,1.0798615143403552,34.49,17.24,17.24
128,306,1.0806356375563264,20.81,10.4,10.4
129,307,1.0692759192325463,42.6,21.39,21.39
130,308,1.06291539126906,51.43,25.84,25.84
131,309,1.0536262503132676,70.15,35.32,35.32
132,310,1.0548044605189684,29.69,14.88,14.88
133,311,1.0498771103445963,38.42,19.28,19.28
134,313,1.0599211728804467,28.27,14.13,14.13
135,314,1.061427804696753,21.21,10.6,10.6
136,315,1.069079947842605,46.31,23.15,23.15
137,316,1.068104817994405,18.61,9.3,9.3
138,319,1.061068777167357,23.78,11.91,11.91
139,321,1.0474882156036993,76.89,38.74,38.74
140,322,1.033805434766454,100.0,50.5,50.5
141,323,1.031200856988653,63.26,31.83,31.83
142,324,1.0302450347675765,36.49,18.31,18.31
143,325,1.0187304737993708,75.03,37.79,37.79
144,326,1.0196884575407203,33.06,16.58,16.58
145,329,1.017505265182973,27.34,13.7,13.7
146,330,1.03072856566492,50.61,25.3,25.3
147,331,1.0348720916986844,45.22,22.6,22.6
148,332,1.0399451220798466,46.89,23.44,23.44
149,333,1.0392298315550683,20.01,10.0,10.0
150,334,1.0519020415143834,70.11,35.05,35.05
151,335,1.0510549990129596,31.05,15.52,15.52
152,337,1.0335006805860374,69.13,34.8,34.8
153,338,1.0318788741173006,42.71,21.44,21.44
154,343,1.042066265812049,27.64,13.81,13.81
155,344,1.0342601408348195,23.81,11.93,11.93
156,345,1.0442832156316197,36.17,18.08,18.08
157,346,1.0567919926870029,77.05,38.52,38.52
158,347,1.0549825424367492,30.01,15.0,15.0
159,351,1.0439096504377587,37.87,19.0,19.0
160,352,1.0525168916639642,22.03,11.01,11.01
161,356,1.0455421178104345,22.26,11.15,11.15
162,357,1.042651495646663,25.04,12.55,12.55
163,359,1.0362984664806643,43.28,21.73,21.73
164,361,1.0458451834664484,24.1,12.04,12.04
165,364,1.0568597548129604,64.03,32.01,32.01
166,365,1.0566519741455382,31.03,15.51,15.51
