regime,share,net_result
low,0.1,-379.4430775433177
low,0.25,-121.63096218351782
low,0.5,81.78659937226338
low,0.75,101.40994396510594
low,0.8,76.77414570599116
low,0.85,52.04491824673754
low,0.9,30.590145592212984
mid,0.1,-728.6832073024702
mid,0.25,-244.74612130002313
mid,0.5,228.82171516070665
mid,0.75,541.5361061375029
mid,0.8,573.377886888822
mid,0.85,592.7688310928944
mid,0.9,588.7750496902063
high,0.1,-16847.048871982053
high,0.25,-13669.122732818729
high,0.5,-10136.64598326951
high,0.75,-8742.4246962837
high,0.8,-8787.397370914401
high,0.85,-9005.344870302608
high,0.9,-9189.875352050025
