trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
0,61,1.0765085934494523,26.03,26.22,33.78
1,64,1.0700238570347607,26.22,26.52,33.48
2,68,1.079309063424812,33.48,26.39,33.61
3,69,1.0819772209707577,33.61,26.27,33.73
4,70,1.0916817500321279,33.73,25.83,34.17
5,71,1.0944751217436248,34.17,25.71,34.29
6,76,1.0816831039569161,25.71,25.99,34.01
7,80,1.07774940384666,25.99,26.17,33.83
8,82,1.0713473026343305,26.17,26.46,33.54
9,87,1.0874199472335764,33.54,26.02,33.98
10,88,1.0912374609696747,33.98,25.85,34.15
11,89,1.1029570653808338,34.15,25.32,34.68
12,90,1.1068300367891855,34.68,25.15,34.85
13,92,1.0960502270114576,25.15,25.33,34.67
14,94,1.1152205256868304,34.67,24.77,35.23
15,97,1.0979435870266954,24.77,25.25,34.75
16,98,1.0956425290031258,25.25,25.35,34.65
17,99,1.0926127389272293,25.35,25.48,34.52
18,101,1.087751969083056,25.48,25.7,34.3
19,105,1.0834301733944476,25.7,25.89,34.11
20,108,1.0776089561802153,25.89,26.15,33.85
21,113,1.087401253877354,33.85,26.0,34.0
22,115,1.0915265259489217,34.0,25.82,34.18
23,116,1.0969718704203497,34.18,25.58,34.42
24,118,1.1006315480851667,34.42,25.42,34.58
25,120,1.1061851127747167,34.58,25.17,34.83
26,123,1.1151247517751837,34.83,24.77,35.23
27,125,1.1060530160129467,24.77,24.87,35.13
28,126,1.096224073983336,24.87,25.31,34.69
29,129,1.0910648825207243,25.31,25.54,34.46
30,130,1.0875038719252168,25.54,25.7,34.3
31,139,1.0843467748520719,25.7,25.84,34.16
32,141,1.0934952442678758,34.16,25.72,34.28
33,142,1.0958746331788827,34.28,25.62,34.38
34,144,1.1022044978693966,34.38,25.34,34.66
35,146,1.1056635673609316,34.66,25.19,34.81
36,149,1.1102349527286344,34.81,24.99,35.01
37,150,1.09550463915862,24.99,25.35,34.65
38,153,1.089083449557251,25.35,25.64,34.36
39,154,1.0852207111432048,25.64,25.81,34.19
40,162,1.0938305743839551,34.19,25.72,34.28
41,163,1.0803198122300903,25.72,26.04,33.96
42,165,1.0888555663081427,33.96,25.95,34.05
43,166,1.0937130659234986,34.05,25.73,34.27
44,167,1.1062655799561256,34.27,25.16,34.84
45,168,1.1117207833714056,34.84,24.92,35.08
46,169,1.114494493263395,35.08,24.8,35.2
47,170,1.1262127875131722,35.2,24.28,35.72
48,171,1.13699362059164,35.72,23.81,36.19
49,175,1.1431990174337583,36.19,23.54,36.46
50,180,1.124095688192523,23.54,24.08,35.92
51,181,1.1212149179640425,24.08,24.2,35.8
52,184,1.117971029783966,24.2,24.34,35.66
53,185,1.1281387595003216,35.66,24.19,35.81
54,191,1.116882819235677,24.19,24.39,35.61
55,195,1.1080927232741404,24.39,24.78,35.22
56,196,1.1035634030568757,24.78,24.98,35.02
57,197,1.0969825447740895,24.98,25.27,34.73
58,202,1.0900527997369949,25.27,25.58,34.42
59,203,1.0853672447984322,25.58,25.79,34.21
60,205,1.0821311521077162,25.79,25.93,34.07
61,208,1.0909553496208932,34.07,25.83,34.17
62,210,1.0932648607565936,34.17,25.73,34.27
63,216,1.0989769019419353,34.27,25.47,34.53
64,217,1.1027082442286824,34.53,25.31,34.69
65,218,1.0925286559285703,25.31,25.47,34.53
66,222,1.1029238203139373,34.53,25.3,34.7
67,225,1.0924349901713004,25.3,25.47,34.53
68,233,1.0896896270443028,25.47,25.59,34.41
69,234,1.0854221859561282,25.59,25.78,34.22
70,239,1.0963030108977405,34.22,25.59,34.41
71,242,1.0864850321555373,25.59,25.74,34.26
72,244,1.0738375258680393,25.74,26.32,33.68
73,247,1.0849170317153463,33.68,26.11,33.89
74,249,1.0884343431322085,33.89,25.95,34.05
75,251,1.078416197539406,25.95,26.11,33.89
76,254,1.0744918397264749,26.11,26.29,33.71
77,255,1.0719117565166996,26.29,26.4,33.6
78,256,1.0697128139591334,26.4,26.5,33.5
79,258,1.0646681953688881,26.5,26.73,33.27
80,261,1.0616708814911855,26.73,26.86,33.14
81,263,1.0751799827619335,33.14,26.53,33.47
82,264,1.0811015174998018,33.47,26.26,33.74
83,265,1.085221916298753,33.74,26.08,33.92
84,266,1.0880489546717795,33.92,25.96,34.04
85,269,1.0911972471661726,34.04,25.82,34.18
86,270,1.0930564644614955,34.18,25.74,34.26
87,276,1.0830942163082014,25.74,25.89,34.11
88,279,1.076640465607221,25.89,26.18,33.82
89,287,1.071821106700635,26.18,26.4,33.6
90,288,1.0673550897576147,26.4,26.6,33.4
91,289,1.063578766337575,26.6,26.77,33.23
92,290,1.0614069912547004,26.77,26.87,33.13
93,295,1.0536643954389868,26.87,27.23,32.77
94,298,1.0663640010756639,32.77,26.93,33.07
95,301,1.0724613872507722,33.07,26.65,33.35
96,302,1.0775020074924742,33.35,26.42,33.58
97,303,1.0798615143403552,33.58,26.32,33.68
