trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
0,64,1.0700238570347607,6.0,11.0,70.0
1,69,1.0819772209707577,70.0,6.0,75.0
2,70,1.0916817500321279,75.0,1.0,80.0
3,71,1.0944751217436248,80.0,1.0,85.0
4,76,1.0816831039569161,1.0,6.0,80.0
5,80,1.07774940384666,6.0,11.0,75.0
6,82,1.0713473026343305,11.0,16.0,70.0
7,87,1.0874199472335764,70.0,11.0,75.0
8,88,1.0912374609696747,75.0,6.0,80.0
9,89,1.1029570653808338,80.0,1.0,85.0
10,90,1.1068300367891855,85.0,1.0,90.0
11,94,1.1152205256868304,90.0,1.0,95.0
12,97,1.0979435870266954,1.0,6.0,90.0
13,99,1.0926127389272293,6.0,11.0,85.0
14,101,1.087751969083056,11.0,16.0,80.0
15,105,1.0834301733944476,16.0,21.0,75.0
16,108,1.0776089561802153,21.0,26.0,70.0
17,115,1.0915265259489217,70.0,21.0,75.0
18,116,1.0969718704203497,75.0,16.0,80.0
19,118,1.1006315480851667,80.0,11.0,85.0
20,120,1.1061851127747167,85.0,6.0,90.0
21,123,1.1151247517751837,90.0,1.0,95.0
22,126,1.096224073983336,1.0,6.0,90.0
23,129,1.0910648825207243,6.0,11.0,85.0
24,130,1.0875038719252168,11.0,16.0,80.0
25,139,1.0843467748520719,16.0,21.0,75.0
26,144,1.1022044978693966,75.0,16.0,80.0
27,146,1.1056635673609316,80.0,11.0,85.0
28,149,1.1102349527286344,85.0,6.0,90.0
29,150,1.09550463915862,6.0,11.0,85.0
30,153,1.089083449557251,11.0,16.0,80.0
31,154,1.0852207111432048,16.0,21.0,75.0
32,163,1.0803198122300903,21.0,26.0,70.0
33,166,1.0937130659234986,70.0,21.0,75.0
34,167,1.1062655799561256,75.0,16.0,80.0
35,168,1.1117207833714056,80.0,11.0,85.0
36,169,1.114494493263395,85.0,6.0,90.0
37,170,1.1262127875131722,90.0,1.0,95.0
38,171,1.13699362059164,95.0,1.0,100.0
39,175,1.1431990174337583,100.0,1.0,100.0
40,180,1.124095688192523,1.0,6.0,95.0
41,181,1.1212149179640425,6.0,11.0,90.0
42,184,1.117971029783966,11.0,16.0,85.0
43,195,1.1080927232741404,16.0,21.0,80.0
44,196,1.1035634030568757,21.0,26.0,75.0
45,197,1.0969825447740895,26.0,31.0,70.0
46,202,1.0900527997369949,31.0,36.0,65.0
47,203,1.0853672447984322,36.0,41.0,60.0
48,205,1.0821311521077162,41.0,46.0,55.0
49,214,1.0946123006824982,55.0,41.0,60.0
50,216,1.0989769019419353,60.0,36.0,65.0
51,217,1.1027082442286824,65.0,31.0,70.0
52,233,1.0896896270443028,31.0,36.0,65.0
53,234,1.0854221859561282,36.0,41.0,60.0
54,244,1.0738375258680393,41.0,46.0,55.0
55,249,1.0884343431322085,55.0,41.0,60.0
56,254,1.0744918397264749,41.0,46.0,55.0
57,255,1.0719117565166996,46.0,51.0,50.0
58,258,1.0646681953688881,51.0,56.0,45.0
59,261,1.0616708814911855,56.0,61.0,40.0
60,263,1.0751799827619335,40.0,56.0,45.0
61,264,1.0811015174998018,45.0,51.0,50.0
62,265,1.085221916298753,50.0,46.0,55.0
63,266,1.0880489546717795,55.0,41.0,60.0
64,269,1.0911972471661726,60.0,36.0,65.0
65,279,1.076640465607221,36.0,41.0,60.0
66,287,1.071821106700635,41.0,46.0,55.0
67,288,1.0673550897576147,46.0,51.0,50.0
68,289,1.063578766337575,51.0,56.0,45.0
69,293,1.0600982523288993,56.0,61.0,40.0
70,295,1.0536643954389868,61.0,66.0,35.0
71,298,1.0663640010756639,35.0,61.0,40.0
72,301,1.0724613872507722,40.0,56.0,45.0
73,302,1.0775020074924742,45.0,51.0,50.0
74,306,1.0806356375563264,50.0,46.0,55.0
75,308,1.06291539126906,46.0,51.0,50.0
76,309,1.0536262503132676,51.0,56.0,45.0
77,311,1.0498771103445963,56.0,61.0,40.0
78,315,1.069079947842605,40.0,56.0,45.0
79,321,1.0474882156036993,56.0,61.0,40.0
80,322,1.033805434766454,61.0,66.0,35.0
81,323,1.031200856988653,66.0,71.0,30.0
82,325,1.0187304737993708,71.0,76.0,25.0
83,330,1.03072856566492,25.0,71.0,30.0
84,331,1.0348720916986844,30.0,66.0,35.0
85,332,1.0399451220798466,35.0,61.0,40.0
86,334,1.0519020415143834,40.0,56.0,45.0
87,337,1.0335006805860374,56.0,61.0,40.0
88,346,1.0567919926870029,40.0,56.0,45.0
89,351,1.0439096504377587,56.0,61.0,40.0
90,359,1.0362984664806643,61.0,66.0,35.0
91,364,1.0568597548129604,35.0,61.0,40.0
92,366,1.0602417282578607,40.0,56.0,45.0
93,372,1.0470537686316645,56.0,61.0,40.0
94,378,1.0639664290650686,40.0,56.0,45.0
95,379,1.0694402481730672,45.0,51.0,50.0
96,389,1.0524270619576965,51.0,56.0,45.0
97,397,1.065755170702095,45.0,51.0,50.0
98,402,1.0451213863410627,51.0,56.0,45.0
99,405,1.0406745646118705,56.0,61.0,40.0
100,412,1.0559903353435596,40.0,56.0,45.0
101,422,1.062017572817329,45.0,51.0,50.0
102,423,1.0710173548048398,50.0,46.0,55.0
103,426,1.0571351916967424,46.0,51.0,50.0
104,427,1.0483200653156026,51.0,56.0,45.0
105,428,1.025867764131181,56.0,61.0,40.0
106,432,1.039272861250977,40.0,56.0,45.0
107,435,1.0495615492623074,45.0,51.0,50.0
108,436,1.0612239303121553,50.0,46.0,55.0
109,444,1.0464894841125503,46.0,51.0,50.0
110,446,1.042113125113751,51.0,56.0,45.0
111,466,1.0393072510584411,56.0,61.0,40.0
112,474,1.0361828767373802,61.0,66.0,35.0
113,475,1.02636714220539,66.0,71.0,30.0
114,480,1.0187263643171394,71.0,76.0,25.0
115,483,1.0393789444941464,25.0,71.0,30.0
116,487,1.021946413652256,71.0,76.0,25.0
117,488,1.017844681962848,76.0,81.0,20.0
118,489,1.010098044175301,81.0,86.0,15.0
119,490,1.0022058900361148,86.0,91.0,10.0
120,493,0.9981232165191278,91.0,96.0,5.0
121,494,0.9949787434152333,96.0,100.0,1.0
122,496,0.9876688366657645,100.0,100.0,1.0
123,497,0.985480531735161,100.0,100.0,1.0
124,501,1.0031438690214274,1.0,95.0,6.0
125,509,0.9892307957021473,95.0,100.0,1.0
126,513,0.9836010043444506,100.0,100.0,1.0
127,514,0.9798447070446981,100.0,100.0,1.0
128,518,0.9957647126068297,1.0,95.0,6.0
129,519,1.0027068879363035,6.0,90.0,11.0
130,521,1.0126117986105803,11.0,85.0,16.0
131,523,1.0011126254884384,85.0,90.0,11.0
