trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
0,60,1.079041488250314,19.0,20.0,40.0
1,61,1.0765085934494523,20.0,21.0,39.0
2,64,1.0700238570347607,21.0,22.0,38.0
3,68,1.079309063424812,38.0,21.0,39.0
4,69,1.0819772209707577,39.0,20.0,40.0
5,70,1.0916817500321279,40.0,19.0,41.0
6,71,1.0944751217436248,41.0,18.0,42.0
7,76,1.0816831039569161,18.0,19.0,41.0
8,80,1.07774940384666,19.0,20.0,40.0
9,82,1.0713473026343305,20.0,21.0,39.0
10,87,1.0874199472335764,39.0,20.0,40.0
11,88,1.0912374609696747,40.0,19.0,41.0
12,89,1.1029570653808338,41.0,18.0,42.0
13,90,1.1068300367891855,42.0,17.0,43.0
14,92,1.0960502270114576,17.0,18.0,42.0
15,94,1.1152205256868304,42.0,17.0,43.0
16,97,1.0979435870266954,17.0,18.0,42.0
17,98,1.0956425290031258,18.0,19.0,41.0
18,99,1.0926127389272293,19.0,20.0,40.0
19,101,1.087751969083056,20.0,21.0,39.0
20,105,1.0834301733944476,21.0,22.0,38.0
21,108,1.0776089561802153,22.0,23.0,37.0
22,113,1.087401253877354,37.0,22.0,38.0
23,115,1.0915265259489217,38.0,21.0,39.0
24,116,1.0969718704203497,39.0,20.0,40.0
25,118,1.1006315480851667,40.0,19.0,41.0
26,120,1.1061851127747167,41.0,18.0,42.0
27,123,1.1151247517751837,42.0,17.0,43.0
28,125,1.1060530160129467,17.0,18.0,42.0
29,126,1.096224073983336,18.0,19.0,41.0
30,129,1.0910648825207243,19.0,20.0,40.0
31,130,1.0875038719252168,20.0,21.0,39.0
32,139,1.0843467748520719,21.0,22.0,38.0
33,141,1.0934952442678758,38.0,21.0,39.0
34,142,1.0958746331788827,39.0,20.0,40.0
35,144,1.1022044978693966,40.0,19.0,41.0
36,146,1.1056635673609316,41.0,18.0,42.0
37,149,1.1102349527286344,42.0,17.0,43.0
38,150,1.09550463915862,17.0,18.0,42.0
39,153,1.089083449557251,18.0,19.0,41.0
40,154,1.0852207111432048,19.0,20.0,40.0
41,162,1.0938305743839551,40.0,19.0,41.0
42,163,1.0803198122300903,19.0,20.0,40.0
43,165,1.0888555663081427,40.0,19.0,41.0
44,166,1.0937130659234986,41.0,18.0,42.0
45,167,1.1062655799561256,42.0,17.0,43.0
46,168,1.1117207833714056,43.0,16.0,44.0
47,169,1.114494493263395,44.0,15.0,45.0
48,170,1.1262127875131722,45.0,14.0,46.0
49,171,1.13699362059164,46.0,13.0,47.0
50,175,1.1431990174337583,47.0,12.0,48.0
51,180,1.124095688192523,12.0,13.0,47.0
52,181,1.1212149179640425,13.0,14.0,46.0
53,184,1.117971029783966,14.0,15.0,45.0
54,185,1.1281387595003216,45.0,14.0,46.0
55,191,1.116882819235677,14.0,15.0,45.0
56,195,1.1080927232741404,15.0,16.0,44.0
57,196,1.1035634030568757,16.0,17.0,43.0
58,197,1.0969825447740895,17.0,18.0,42.0
59,202,1.0900527997369949,18.0,19.0,41.0
60,203,1.0853672447984322,19.0,20.0,40.0
61,205,1.0821311521077162,20.0,21.0,39.0
62,208,1.0909553496208932,39.0,20.0,40.0
63,210,1.0932648607565936,40.0,19.0,41.0
64,216,1.0989769019419353,41.0,18.0,42.0
65,217,1.1027082442286824,42.0,17.0,43.0
66,218,1.0925286559285703,17.0,18.0,42.0
67,222,1.1029238203139373,42.0,17.0,43.0
68,225,1.0924349901713004,17.0,18.0,42.0
69,233,1.0896896270443028,18.0,19.0,41.0
70,234,1.0854221859561282,19.0,20.0,40.0
71,239,1.0963030108977405,40.0,19.0,41.0
72,242,1.0864850321555373,19.0,20.0,40.0
73,244,1.0738375258680393,20.0,21.0,39.0
74,247,1.0849170317153463,39.0,20.0,40.0
75,249,1.0884343431322085,40.0,19.0,41.0
76,251,1.078416197539406,19.0,20.0,40.0
77,254,1.0744918397264749,20.0,21.0,39.0
78,255,1.0719117565166996,21.0,22.0,38.0
79,256,1.0697128139591334,22.0,23.0,37.0
80,258,1.0646681953688881,23.0,24.0,36.0
81,261,1.0616708814911855,24.0,25.0,35.0
82,263,1.0751799827619335,35.0,24.0,36.0
83,264,1.0811015174998018,36.0,23.0,37.0
84,265,1.085221916298753,37.0,22.0,38.0
85,266,1.0880489546717795,38.0,21.0,39.0
86,269,1.0911972471661726,39.0,20.0,40.0
87,279,1.076640465607221,20.0,21.0,39.0
88,287,1.071821106700635,21.0,22.0,38.0
89,288,1.0673550897576147,22.0,23.0,37.0
90,289,1.063578766337575,23.0,24.0,36.0
91,290,1.0614069912547004,24.0,25.0,35.0
92,295,1.0536643954389868,25.0,26.0,34.0
93,298,1.0663640010756639,34.0,25.0,35.0
94,301,1.0724613872507722,35.0,24.0,36.0
95,302,1.0775020074924742,36.0,23.0,37.0
96,303,1.0798615143403552,37.0,22.0,38.0
97,307,1.0692759192325463,22.0,23.0,37.0
98,308,1.06291539126906,23.0,24.0,36.0
99,309,1.0536262503132676,24.0,25.0,35.0
100,311,1.0498771103445963,25.0,26.0,34.0
101,313,1.0599211728804467,34.0,25.0,35.0
102,315,1.069079947842605,35.0,24.0,36.0
103,319,1.061068777167357,24.0,25.0,35.0
104,321,1.0474882156036993,25.0,26.0,34.0
105,322,1.033805434766454,26.0,27.0,33.0
106,323,1.031200856988653,27.0,28.0,32.0
107,325,1.0187304737993708,28.0,29.0,31.0
108,330,1.03072856566492,31.0,28.0,32.0
109,331,1.0348720916986844,32.0,27.0,33.0
110,332,1.0399451220798466,33.0,26.0,34.0
111,334,1.0519020415143834,34.0,25.0,35.0
112,337,1.0335006805860374,25.0,26.0,34.0
113,343,1.042066265812049,34.0,25.0,35.0
114,344,1.0342601408348195,25.0,26.0,34.0
115,345,1.0442832156316197,34.0,25.0,35.0
116,346,1.0567919926870029,35.0,24.0,36.0
117,348,1.048430064436804,24.0,25.0,35.0
118,351,1.0439096504377587,25.0,26.0,34.0
119,352,1.0525168916639642,34.0,25.0,35.0
120,357,1.042651495646663,25.0,26.0,34.0
121,359,1.0362984664806643,26.0,27.0,33.0
122,361,1.0458451834664484,33.0,26.0,34.0
123,364,1.0568597548129604,34.0,25.0,35.0
124,366,1.0602417282578607,35.0,24.0,36.0
125,371,1.0490206901076804,24.0,25.0,35.0
126,372,1.0470537686316645,25.0,26.0,34.0
127,373,1.0447534694819691,26.0,27.0,33.0
128,378,1.0639664290650686,33.0,26.0,34.0
129,379,1.0694402481730672,34.0,25.0,35.0
