trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
0,69,1.0819772209707577,310.0,30.0,30.0
1,70,1.0916817500321279,358.0,30.0,30.0
2,71,1.0944751217436248,389.0,30.0,30.0
3,72,1.0911851841274829,355.0,30.0,30.0
4,73,1.0902922374643005,351.0,30.0,30.0
5,74,1.0888511122842224,343.0,30.0,30.0
6,75,1.0962715529345692,398.0,30.0,30.0
7,76,1.0816831039569161,308.0,30.0,30.0
8,77,1.0813553558040856,306.0,30.0,30.0
9,78,1.0823142731706161,311.0,30.0,30.0
10,87,1.0874199472335764,336.0,30.0,30.0
11,88,1.0912374609696747,354.0,30.0,30.0
12,89,1.1029570653808338,431.0,30.0,30.0
13,90,1.1068300367891855,450.0,30.0,30.0
14,91,1.1030728578138251,431.0,30.0,30.0
15,92,1.0960502270114576,395.0,30.0,30.0
16,93,1.0965059024721266,397.0,30.0,30.0
17,94,1.1152205256868304,1000.0,30.0,30.0
18,95,1.1132900459585895,467.0,30.0,30.0
19,96,1.1074181246922175,437.0,30.0,30.0
20,97,1.0979435870266954,389.0,30.0,30.0
21,98,1.0956425290031258,359.0,30.0,30.0
22,99,1.0926127389272293,344.0,30.0,30.0
23,100,1.0943353088683234,352.0,30.0,30.0
24,101,1.087751969083056,320.0,30.0,30.0
25,102,1.0898680146026398,330.0,30.0,30.0
26,103,1.0881536229044626,322.0,30.0,30.0
27,104,1.0908750907951188,335.0,30.0,30.0
28,106,1.0871712906330449,317.0,30.0,30.0
29,107,1.0860192446740526,311.0,30.0,30.0
30,110,1.0850046547410563,306.0,30.0,30.0
31,113,1.087401253877354,317.0,30.0,30.0
32,115,1.0915265259489217,337.0,30.0,30.0
33,116,1.0969718704203497,364.0,30.0,30.0
34,117,1.09793848870204,386.0,30.0,30.0
35,118,1.1006315480851667,399.0,30.0,30.0
36,119,1.0979435343926978,386.0,30.0,30.0
37,120,1.1061851127747167,427.0,30.0,30.0
38,121,1.1070690731657251,431.0,30.0,30.0
39,122,1.1054737472369682,423.0,30.0,30.0
40,123,1.1151247517751837,472.0,30.0,30.0
41,124,1.1070596121700034,431.0,30.0,30.0
42,125,1.1060530160129467,425.0,30.0,30.0
43,126,1.096224073983336,358.0,30.0,30.0
44,127,1.0962873666708164,358.0,30.0,30.0
45,128,1.0954394674950858,354.0,30.0,30.0
46,129,1.0910648825207243,332.0,30.0,30.0
47,130,1.0875038719252168,315.0,30.0,30.0
48,131,1.0899787092773967,327.0,30.0,30.0
49,132,1.0927386413116347,340.0,30.0,30.0
50,133,1.0891344655251982,322.0,30.0,30.0
51,134,1.087903077480222,316.0,30.0,30.0
52,135,1.088245764298418,318.0,30.0,30.0
53,136,1.0892360418513052,322.0,30.0,30.0
54,137,1.0927681811317753,339.0,30.0,30.0
55,138,1.0893209535762594,322.0,30.0,30.0
56,140,1.0877368107383618,314.0,30.0,30.0
57,141,1.0934952442678758,343.0,30.0,30.0
58,142,1.0958746331788827,354.0,30.0,30.0
59,143,1.0907926471586655,329.0,30.0,30.0
60,144,1.1022044978693966,403.0,30.0,30.0
61,145,1.1039333066231303,411.0,30.0,30.0
62,146,1.1056635673609316,420.0,30.0,30.0
63,147,1.1053329994331318,418.0,30.0,30.0
64,148,1.1065358741329996,424.0,30.0,30.0
65,149,1.1102349527286344,443.0,30.0,30.0
66,150,1.09550463915862,351.0,30.0,30.0
67,151,1.0973081757352159,359.0,30.0,30.0
68,152,1.0951762398000724,349.0,30.0,30.0
