trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
0,60,1.079041488250314,30.0,30.0,30.0
1,61,1.0765085934494523,30.0,30.0,30.0
2,64,1.0700238570347607,30.0,30.0,30.0
3,68,1.079309063424812,30.0,30.0,30.0
4,69,1.0819772209707577,30.0,30.0,30.0
5,70,1.0916817500321279,30.0,30.0,30.0
6,71,1.0944751217436248,30.0,30.0,30.0
7,75,1.0962715529345692,30.0,30.0,30.0
8,76,1.0816831039569161,30.0,30.0,30.0
9,80,1.07774940384666,30.0,30.0,30.0
10,82,1.0713473026343305,30.0,30.0,30.0
11,87,1.0874199472335764,30.0,30.0,30.0
12,88,1.0912374609696747,30.0,30.0,30.0
13,89,1.1029570653808338,30.0,30.0,30.0
14,90,1.1068300367891855,30.0,30.0,30.0
15,92,1.0960502270114576,30.0,30.0,30.0
16,94,1.1152205256868304,30.0,30.0,30.0
17,97,1.0979435870266954,30.0,30.0,30.0
18,98,1.0956425290031258,30.0,30.0,30.0
19,99,1.0926127389272293,30.0,30.0,30.0
20,101,1.087751969083056,30.0,30.0,30.0
21,105,1.0834301733944476,30.0,30.0,30.0
22,108,1.0776089561802153,30.0,30.0,30.0
23,113,1.087401253877354,30.0,30.0,30.0
24,115,1.0915265259489217,30.0,30.0,30.0
25,116,1.0969718704203497,30.0,30.0,30.0
26,118,1.1006315480851667,30.0,30.0,30.0
27,120,1.1061851127747167,30.0,30.0,30.0
28,123,1.1151247517751837,30.0,30.0,30.0
29,125,1.1060530160129467,30.0,30.0,30.0
30,126,1.096224073983336,30.0,30.0,30.0
31,129,1.0910648825207243,30.0,30.0,30.0
32,130,1.0875038719252168,30.0,30.0,30.0
33,139,1.0843467748520719,30.0,30.0,30.0
34,141,1.0934952442678758,30.0,30.0,30.0
35,142,1.0958746331788827,30.0,30.0,30.0
36,144,1.1022044978693966,30.0,30.0,30.0
37,145,1.1039333066231303,30.0,30.0,30.0
38,146,1.1056635673609316,30.0,30.0,30.0
39,149,1.1102349527286344,30.0,30.0,30.0
40,150,1.09550463915862,30.0,30.0,30.0
41,153,1.089083449557251,30.0,30.0,30.0
42,154,1.0852207111432048,30.0,30.0,30.0
43,162,1.0938305743839551,30.0,30.0,30.0
44,163,1.0803198122300903,30.0,30.0,30.0
45,165,1.0888555663081427,30.0,30.0,30.0
46,166,1.0937130659234986,30.0,30.0,30.0
47,167,1.1062655799561256,30.0,30.0,30.0
48,168,1.1117207833714056,30.0,30.0,30.0
49,169,1.114494493263395,30.0,30.0,30.0
50,170,1.1262127875131722,30.0,30.0,30.0
51,171,1.13699362059164,30.0,30.0,30.0
52,175,1.1431990174337583,30.0,30.0,30.0
53,180,1.124095688192523,30.0,30.0,30.0
54,181,1.1212149179640425,30.0,30.0,30.0
55,184,1.117971029783966,30.0,30.0,30.0
56,185,1.1281387595003216,30.0,30.0,30.0
57,191,1.116882819235677,30.0,30.0,30.0
58,195,1.1080927232741404,30.0,30.0,30.0
59,196,1.1035634030568757,30.0,30.0,30.0
60,197,1.0969825447740895,30.0,30.0,30.0
61,202,1.0900527997369949,30.0,30.0,30.0
62,203,1.0853672447984322,30.0,30.0,30.0
63,205,1.0821311521077162,30.0,30.0,30.0
64,208,1.0909553496208932,30.0,30.0,30.0
65,210,1.0932648607565936,30.0,30.0,30.0
66,216,1.0989769019419353,30.0,30.0,30.0
67,217,1.1027082442286824,30.0,30.0,30.0
68,218,1.0925286559285703,30.0,30.0,30.0
69,222,1.1029238203139373,30.0,30.0,30.0
70,225,1.0924349901713004,30.0,30.0,30.0
71,226,1.090729035847873,30.0,30.0,30.0
72,234,1.0854221859561282,30.0,30.0,30.0
73,239,1.0963030108977405,30.0,30.0,30.0
74,242,1.0864850321555373,30.0,30.0,30.0
75,244,1.0738375258680393,30.0,30.0,30.0
76,247,1.0849170317153463,30.0,30.0,30.0
77,249,1.0884343431322085,30.0,30.0,30.0
78,251,1.078416197539406,30.0,30.0,30.0
79,254,1.0744918397264749,30.0,30.0,30.0
80,255,1.0719117565166996,30.0,30.0,30.0
81,256,1.0697128139591334,30.0,30.0,30.0
82,258,1.0646681953688881,30.0,30.0,30.0
83,261,1.0616708814911855,30.0,30.0,30.0
84,263,1.0751799827619335,30.0,30.0,30.0
85,264,1.0811015174998018,30.0,30.0,30.0
86,265,1.085221916298753,30.0,30.0,30.0
87,266,1.0880489546717795,30.0,30.0,30.0
88,269,1.0911972471661726,30.0,30.0,30.0
89,270,1.0930564644614955,30.0,30.0,30.0
90,275,1.084750683262733,30.0,30.0,30.0
91,276,1.0830942163082014,30.0,30.0,30.0
92,279,1.076640465607221,30.0,30.0,30.0
93,287,1.071821106700635,30.0,30.0,30.0
94,288,1.0673550897576147,30.0,30.0,30.0
95,289,1.063578766337575,30.0,30.0,30.0
96,290,1.0614069912547004,30.0,30.0,30.0
97,295,1.0536643954389868,30.0,30.0,30.0
98,298,1.0663640010756639,30.0,30.0,30.0
99,301,1.0724613872507722,30.0,30.0,30.0
100,302,1.0775020074924742,30.0,30.0,30.0
101,303,1.0798615143403552,30.0,30.0,30.0
102,307,1.0692759192325463,30.0,30.0,30.0
103,308,1.06291539126906,30.0,30.0,30.0
104,309,1.0536262503132676,30.0,30.0,30.0
105,311,1.0498771103445963,30.0,30.0,30.0
106,313,1.0599211728804467,30.0,30.0,30.0
107,315,1.069079947842605,30.0,30.0,30.0
108,319,1.061068777167357,30.0,30.0,30.0
109,321,1.0474882156036993,30.0,30.0,30.0
110,322,1.033805434766454,30.0,30.0,30.0
111,323,1.031200856988653,30.0,30.0,30.0
112,325,1.0187304737993708,30.0,30.0,30.0
113,330,1.03072856566492,30.0,30.0,30.0
114,331,1.0348720916986844,30.0,30.0,30.0
115,332,1.0399451220798466,30.0,30.0,30.0
116,334,1.0519020415143834,30.0,30.0,30.0
117,337,1.0335006805860374,30.0,30.0,30.0
118,338,1.0318788741173006,30.0,30.0,30.0
119,343,1.042066265812049,30.0,30.0,30.0
120,344,1.0342601408348195,30.0,30.0,30.0
121,345,1.0442832156316197,30.0,30.0,30.0
122,346,1.0567919926870029,30.0,30.0,30.0
123,348,1.048430064436804,30.0,30.0,30.0
124,351,1.0439096504377587,30.0,30.0,30.0
125,352,1.0525168916639642,30.0,30.0,30.0
126,357,1.042651495646663,30.0,30.0,30.0
127,359,1.0362984664806643,30.0,30.0,30.0
128,361,1.0458451834664484,30.0,30.0,30.0
129,364,1.0568597548129604,30.0,30.0,30.0
130,366,1.0602417282578607,30.0,30.0,30.0
131,371,1.0490206901076804,30.0,30.0,30.0
132,372,1.0470537686316645,30.0,30.0,30.0
133,373,1.0447534694819691,30.0,30.0,30.0
134,378,1.0639664290650686,30.0,30.0,30.0
135,379,1.0694402481730672,30.0,30.0,30.0
136,383,1.058662077800058,30.0,30.0,30.0
137,389,1.0524270619576965,30.0,30.0,30.0
138,391,1.0506195251424484,30.0,30.0,30.0
139,396,1.0636099234765515,30.0,30.0,30.0
140,397,1.065755170702095,30.0,30.0,30.0
141,401,1.0544253796852907,30.0,30.0,30.0
142,402,1.0451213863410627,30.0,30.0,30.0
143,403,1.042993702189458,30.0,30.0,30.0
144,405,1.0406745646118705,30.0,30.0,30.0
145,410,1.0494924681333184,30.0,30.0,30.0
146,411,1.0521640838970672,30.0,30.0,30.0
147,412,1.0559903353435596,30.0,30.0,30.0
148,422,1.062017572817329,30.0,30.0,30.0
149,423,1.0710173548048398,30.0,30.0,30.0
150,426,1.0571351916967424,30.0,30.0,30.0
151,427,1.0483200653156026,30.0,30.0,30.0
152,428,1.025867764131181,30.0,30.0,30.0
153,430,1.0357365615301735,30.0,30.0,30.0
154,432,1.039272861250977,30.0,30.0,30.0
155,434,1.0410701467798167,30.0,30.0,30.0
156,435,1.0495615492623074,30.0,30.0,30.0
157,436,1.0612239303121553,30.0,30.0,30.0
158,440,1.0532664064075523,30.0,30.0,30.0
159,444,1.0464894841125503,30.0,30.0,30.0
160,446,1.042113125113751,30.0,30.0,30.0
161,450,1.0511861768705164,30.0,30.0,30.0
162,458,1.042998461356744,30.0,30.0,30.0
163,459,1.0413743702244593,30.0,30.0,30.0
164,462,1.0526641467057951,30.0,30.0,30.0
165,464,1.0434171030872137,30.0,30.0,30.0
166,465,1.0410140157539707,30.0,30.0,30.0
167,466,1.0393072510584411,30.0,30.0,30.0
168,473,1.03729839215616,30.0,30.0,30.0
169,475,1.02636714220539,30.0,30.0,30.0
170,477,1.035911884582286,30.0,30.0,30.0
171,480,1.0187263643171394,30.0,30.0,30.0
172,483,1.0393789444941464,30.0,30.0,30.0
173,487,1.021946413652256,30.0,30.0,30.0
174,488,1.017844681962848,30.0,30.0,30.0
175,489,1.010098044175301,30.0,30.0,30.0
176,490,1.0022058900361148,30.0,30.0,30.0
177,493,0.9981232165191278,30.0,30.0,30.0
178,494,0.9949787434152333,30.0,30.0,30.0
179,496,0.9876688366657645,30.0,30.0,30.0
180,497,0.985480531735161,30.0,30.0,30.0
181,501,1.0031438690214274,30.0,30.0,30.0
182,502,1.0050684113217534,30.0,30.0,30.0
183,504,0.9970683647810862,30.0,30.0,30.0
184,507,0.9946644201067117,30.0,30.0,30.0
185,508,0.9930113813404995,30.0,30.0,30.0
186,509,0.9892307957021473,30.0,30.0,30.0
187,510,0.9872339028004019,30.0,30.0,30.0
188,513,0.9836010043444506,30.0,30.0,30.0
189,514,0.9798447070446981,30.0,30.0,30.0
190,518,0.9957647126068297,30.0,30.0,30.0
191,519,1.0027068879363035,30.0,30.0,30.0
192,520,1.0042237706109207,30.0,30.0,30.0
193,521,1.0126117986105803,30.0,30.0,30.0
194,523,1.0011126254884384,30.0,30.0,30.0
195,525,1.0105198571966167,30.0,30.0,30.0
