policy,retained_volume,net_result
ABHook,561469.0943528218,-2021.1567413598818
BAHook,421906.47958511545,-1776.8019819651206
DAHook,542339.5038764293,-1960.3906797461702
MEVChargeHook,234370.36636195894,-1839.5238139670457
MEVChargeHookFixed,560014.8225854173,-2034.5264358301845
MyHook@10000,237630.44430908293,-1406.6401234702005
MyHook@3000,570940.7795015395,-1995.329600143276
MyHook@500,1340452.21734674,-2975.9605106481813
MyHook@6000,350056.7135043583,-1647.2461186895084
PegCapture,752665.5640172816,-1730.8406754495716
PegDefence,1689880.3905052168,-3464.2194957334063
VolatilityHook,1186110.7133803375,-2969.985769185872
