policy,gwei,net_result_delta
ABHook,5.0,-5.237332462881795
ABHook,20.0,-11.74178270029688
ABHook,80.0,-60.50230848664023
BAHook,5.0,268.69963389865325
BAHook,20.0,257.42098323082973
BAHook,80.0,129.46223740498294
DAHook,5.0,74.0581958886255
DAHook,20.0,45.83171123627426
DAHook,80.0,-15.073145933583419
MEVChargeHook,5.0,-0.9850615972725336
MEVChargeHook,20.0,189.12058060839763
MEVChargeHook,80.0,279.28183951756455
MEVChargeHookFixed,5.0,-15.716721289699763
MEVChargeHookFixed,20.0,-22.265507771541934
MEVChargeHookFixed,80.0,-79.60827799948356
PegCapture,5.0,183.51895011718898
PegCapture,20.0,238.9579776167261
PegCapture,80.0,370.9898463471968
PegDefence,5.0,-1551.024659115042
PegDefence,20.0,-1483.7350133285631
PegDefence,80.0,-1371.910014326786
VolatilityHook,5.0,-953.2172052075705
VolatilityHook,20.0,-958.0473329742695
VolatilityHook,80.0,-1012.7039689459502
MyHook@500,5.0,-977.1092952925167
MyHook@500,20.0,-985.782175838302
MyHook@500,80.0,-979.0012603838973
MyHook@6000,5.0,294.3811976018569
MyHook@6000,20.0,360.53073701949074
MyHook@6000,80.0,389.3385097399537
MyHook@10000,5.0,504.5671273504415
MyHook@10000,20.0,593.2734961933932
MyHook@10000,80.0,668.2278064753918
