minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
0,36133.1005308296,12044.366843609867,3613.3100530829597,1204.4366843609866,361.33100530829597
1,36808.9606154059,12269.653538468632,3680.89606154059,1226.9653538468633,368.08960615405897
2,37441.77192393223,12480.590641310746,3744.1771923932233,1248.0590641310746,374.41771923932237
3,38247.35430430039,12749.118101433462,3824.7354304300384,1274.9118101433462,382.4735430430039
4,38891.587672652786,12963.862557550929,3889.158767265279,1296.3862557550929,388.91587672652787
5,39692.11525282658,13230.705084275527,3969.211525282658,1323.0705084275526,396.9211525282658
6,41077.623064234096,13692.541021411365,4107.762306423409,1369.2541021411366,410.776230642341
7,42367.64247695008,14122.547492316695,4236.764247695009,1412.2547492316694,423.67642476950084
8,43481.63734161254,14493.879113870848,4348.163734161254,1449.3879113870848,434.81637341612543
9,44656.06865489679,14885.356218298932,4465.60686548968,1488.5356218298932,446.56068654896796
10,45663.93371698807,15221.311238996022,4566.393371698807,1522.1311238996022,456.6393371698807
11,44864.518934131964,14954.839644710655,4486.451893413197,1495.4839644710655,448.6451893413196
12,44800.481116051014,14933.493705350338,4480.048111605101,1493.3493705350338,448.00481116051014
13,44637.47479927897,14879.158266426324,4463.747479927897,1487.9158266426325,446.3747479927897
14,44262.77924457001,14754.259748190003,4426.277924457001,1475.4259748190002,442.6277924457001
15,43980.28120927077,14660.093736423589,4398.028120927077,1466.009373642359,439.80281209270765
16,43692.755583742604,14564.251861247536,4369.275558374261,1456.4251861247535,436.92755583742604
17,43318.55530193771,14439.518433979238,4331.855530193771,1443.9518433979238,433.1855530193771
18,43214.43377919516,14404.811259731721,4321.443377919517,1440.481125973172,432.14433779195167
19,43148.61952588797,14382.873175295988,4314.861952588796,1438.2873175295988,431.48619525887966
20,42753.71240278109,14251.237467593697,4275.371240278109,1425.1237467593699,427.53712402781093
21,43214.580072700985,14404.860024233662,4321.458007270098,1440.4860024233662,432.1458007270098
22,43854.57666083744,14618.192220279148,4385.457666083745,1461.8192220279147,438.54576660837444
23,44306.811574104715,14768.937191368239,4430.681157410471,1476.8937191368238,443.06811574104717
24,44704.0792689955,14901.359756331833,4470.40792689955,1490.1359756331833,447.04079268995497
25,45174.08804326623,15058.02934775541,4517.408804326623,1505.802934775541,451.74088043266227
26,45041.224859040645,15013.741619680215,4504.122485904064,1501.3741619680216,450.4122485904064
27,45023.090271342066,15007.696757114021,4502.309027134206,1500.769675711402,450.2309027134206
28,45188.78408573521,15062.928028578406,4518.8784085735215,1506.2928028578406,451.88784085735216
29,45096.512496233,15032.170832077667,4509.6512496233,1503.2170832077668,450.96512496233
30,44851.23215703792,14950.41071901264,4485.123215703792,1495.0410719012639,448.5123215703792
31,44582.52196764723,14860.840655882412,4458.2521967647235,1486.0840655882412,445.82521967647233
32,44264.47870838539,14754.826236128461,4426.447870838539,1475.4826236128463,442.6447870838539
33,43913.66189429719,14637.887298099065,4391.366189429719,1463.7887298099065,439.13661894297195
34,43572.84320709897,14524.281069032992,4357.284320709898,1452.428106903299,435.72843207098975
35,43389.53738693096,14463.179128976988,4338.953738693096,1446.3179128976988,433.89537386930965
36,43519.21920669215,14506.406402230716,4351.921920669215,1450.6406402230716,435.1921920669215
37,43693.35241970376,14564.45080656792,4369.335241970376,1456.445080656792,436.9335241970376
38,43942.9405305526,14647.646843517534,4394.29405305526,1464.7646843517534,439.429405305526
39,43913.9238682507,14637.974622750233,4391.39238682507,1463.7974622750235,439.139238682507
40,44149.57206419003,14716.524021396679,4414.957206419003,1471.6524021396679,441.49572064190033
41,43707.87788797199,14569.292629323996,4370.787788797199,1456.9292629323995,437.0787788797199
42,43076.10771730517,14358.702572435057,4307.610771730517,1435.8702572435056,430.7610771730517
43,42399.80654245353,14133.26884748451,4239.980654245353,1413.326884748451,423.9980654245353
44,41863.196779515085,13954.398926505028,4186.319677951508,1395.4398926505028,418.63196779515084
45,41133.337460339586,13711.11248677986,4113.333746033958,1371.1112486779862,411.33337460339584
46,40586.57505580996,13528.858351936653,4058.6575055809963,1352.8858351936653,405.8657505580996
47,39972.72119635015,13324.240398783382,3997.272119635015,1332.4240398783384,399.7272119635015
48,39273.388323661966,13091.129441220655,3927.3388323661966,1309.1129441220655,392.73388323661965
