policy,pair,n,p5_bps,median_bps,p95_bps,share_at_floor,share_at_cap
MyHook@10000,ETH/SHIB,38992,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/SHIB,85959,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/SHIB,163385,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/SHIB,306940,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/SHIB,101944,29.8,37.4,75.79399999999966,0.0,0.028908027936906538
MEVChargeHook,ETH/SHIB,71829,30.0,30.0,100.0,0.508179147698005,0.491820852301995
DAHook,ETH/SHIB,148030,5.0,30.0,67.0,0.012801459163683037,0.0016010268188880632
BAHook,ETH/SHIB,99852,6.0,45.0,95.0,0.04208228177703,0.04059007330849657
ABHook,ETH/SHIB,151587,26.69,29.97,33.49,0.0,0.0
MyHook@10000,ETH/USDC,36379,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/USDC,84967,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/USDC,165134,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/USDC,312190,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/USDC,118316,26.14,33.17,55.41,0.0,0.003465296325095507
MEVChargeHook,ETH/USDC,141772,30.0,30.0,34.0,0.9448198515926981,0.02005332505713399
DAHook,ETH/USDC,152796,6.0,30.0,59.0,0.009031650043194847,0.00031414434932851645
BAHook,ETH/USDC,99164,6.0,45.0,95.0,0.045349118631761526,0.03579928199749909
ABHook,ETH/USDC,153631,28.07,29.95,31.8,0.0,0.0
MyHook@10000,USDC/USDT,26368,100.0,100.0,100.0,0.0,0.0
MyHook@6000,USDC/USDT,65700,60.0,60.0,60.0,0.0,0.0
MyHook@3000,USDC/USDT,128966,30.0,30.0,30.0,0.0,0.0
MyHook@500,USDC/USDT,240887,5.0,5.0,5.0,0.0,0.0
VolatilityHook,USDC/USDT,129356,20.47,21.09,21.54,0.0,0.0
MEVChargeHook,USDC/USDT,117745,30.0,30.0,30.0,1.0,0.0
DAHook,USDC/USDT,118189,5.0,30.0,61.0,0.012319251368570679,0.0002453697044564215
BAHook,USDC/USDT,109204,10.0,30.0,55.0,0.016647741840958206,0.0004944873814146002
ABHook,USDC/USDT,118269,29.62,29.95,30.24,0.0,0.0
