policy,candle,fee_ab_bps,fee_ba_bps
BAHook,60,6.0,70.0
BAHook,62,11.0,65.0
BAHook,64,6.0,70.0
BAHook,65,1.0,75.0
BAHook,65,1.0,75.0
BAHook,66,6.0,70.0
BAHook,71,11.0,65.0
BAHook,74,16.0,60.0
BAHook,74,16.0,60.0
BAHook,75,11.0,65.0
BAHook,81,6.0,70.0
BAHook,81,6.0,70.0
BAHook,83,11.0,65.0
BAHook,86,16.0,60.0
BAHook,87,21.0,55.0
BAHook,88,26.0,50.0
BAHook,89,31.0,45.0
BAHook,90,26.0,50.0
BAHook,90,26.0,50.0
BAHook,91,21.0,55.0
BAHook,91,21.0,55.0
BAHook,92,16.0,60.0
BAHook,93,11.0,65.0
BAHook,93,11.0,65.0
BAHook,94,6.0,70.0
BAHook,95,11.0,65.0
BAHook,95,11.0,65.0
BAHook,97,6.0,70.0
BAHook,98,1.0,75.0
BAHook,100,6.0,70.0
BAHook,102,11.0,65.0
BAHook,102,11.0,65.0
BAHook,103,16.0,60.0
BAHook,104,21.0,55.0
BAHook,106,26.0,50.0
BAHook,107,21.0,55.0
BAHook,110,26.0,50.0
BAHook,111,31.0,45.0
BAHook,113,26.0,50.0
BAHook,114,31.0,45.0
BAHook,115,36.0,40.0
BAHook,118,31.0,45.0
BAHook,119,36.0,40.0
BAHook,119,36.0,40.0
BAHook,128,31.0,45.0
BAHook,129,26.0,50.0
BAHook,130,31.0,45.0
BAHook,130,31.0,45.0
BAHook,135,36.0,40.0
BAHook,138,31.0,45.0
BAHook,142,36.0,40.0
BAHook,143,31.0,45.0
BAHook,144,36.0,40.0
BAHook,147,31.0,45.0
BAHook,147,31.0,45.0
BAHook,150,36.0,40.0
BAHook,151,41.0,35.0
BAHook,152,46.0,30.0
BAHook,153,51.0,25.0
BAHook,154,46.0,30.0
BAHook,156,51.0,25.0
BAHook,158,56.0,20.0
BAHook,160,61.0,15.0
BAHook,161,66.0,10.0
BAHook,162,71.0,5.0
BAHook,164,76.0,1.0
BAHook,165,81.0,1.0
BAHook,166,86.0,1.0
BAHook,168,81.0,6.0
BAHook,169,86.0,1.0
BAHook,170,81.0,6.0
BAHook,172,76.0,11.0
BAHook,175,81.0,6.0
