policy,gwei,net_result_delta
ABHook,5.0,-243.48448360414477
ABHook,20.0,-536.9207063593585
ABHook,80.0,-844.0138490592617
BAHook,5.0,494.4790305467941
BAHook,20.0,-24.012202817293655
BAHook,80.0,-680.436588387618
DAHook,5.0,132.62853996442755
DAHook,20.0,-163.95210520467663
DAHook,80.0,-511.1110813915175
MEVChargeHook,5.0,-748.8248494502623
MEVChargeHook,20.0,-987.6977204148989
MEVChargeHook,80.0,-959.026793625646
VolatilityHook,5.0,-582.9774134066247
VolatilityHook,20.0,-1237.2331892705206
VolatilityHook,80.0,-1846.886812556173
MyHook@500,5.0,-11868.315752591752
MyHook@500,20.0,-10692.531784332503
MyHook@500,80.0,-8177.830941178183
MyHook@6000,5.0,-59.62527492719346
MyHook@6000,20.0,-6.311373199509035
MyHook@6000,80.0,192.38291743936315
MyHook@10000,5.0,-4953.179860048294
MyHook@10000,20.0,-4266.70742779067
MyHook@10000,80.0,-2642.109053344033
