kappa,policy,valuation,median,ci_low,ci_high,ci_excludes_zero
0.03,VolatilityHook,net_result_delta,45.34235760407195,-12.58889863616973,325.62385543143967,False
0.03,DAHook,net_result_delta,-23.613009226991437,-45.271491557748305,-0.6982128668447984,True
0.03,MEVChargeHook,net_result_delta,-24.562973400213338,-76.62792289365962,114.77856415932308,False
0.03,BAHook,net_result_delta,-27.179964862153593,-87.55558056948797,62.41149736437677,False
0.03,ABHook,net_result_delta,-38.079799872692035,-62.198340270065216,-20.219640357668226,True
0.03,BAHook,net_result_tt_delta,67.88513790730713,28.696865530549477,211.69413377957306,True
0.03,VolatilityHook,net_result_tt_delta,48.37899932050064,20.448646750764613,406.7846716034278,True
0.03,MEVChargeHook,net_result_tt_delta,22.635160759896912,-67.85405251214777,165.7298424900424,False
0.03,DAHook,net_result_tt_delta,5.793334535600189,-2.6126240806655865,20.9609214849947,False
0.03,ABHook,net_result_tt_delta,-27.12968912849385,-48.10452286319689,-20.12891437089544,True
0.1,VolatilityHook,net_result_delta,-6.773668185371065,-62.82810551626852,64.86137615032726,False
0.1,DAHook,net_result_delta,-48.22170654157229,-70.38421599878919,-10.075526028769815,True
0.1,BAHook,net_result_delta,-50.37516112528368,-88.56694340253756,46.11720832376443,False
0.1,MEVChargeHook,net_result_delta,-67.71307328816928,-130.92217552565504,67.29057393887649,False
0.1,ABHook,net_result_delta,-76.84038787248113,-125.74826794550654,-55.96493554605371,True
0.1,BAHook,net_result_tt_delta,60.564746692778385,19.869536844378764,258.93103947918667,True
0.1,DAHook,net_result_tt_delta,-0.925628998353436,-18.948825255668353,48.42168172655235,False
0.1,MEVChargeHook,net_result_tt_delta,-18.441707236338885,-136.3696642309459,119.11676274970341,False
0.1,VolatilityHook,net_result_tt_delta,-27.83609923577002,-49.81885702301818,242.4298300672484,False
0.1,ABHook,net_result_tt_delta,-64.77691176979616,-110.93825404453001,-51.346734521879945,True
0.3,BAHook,net_result_delta,-90.7217793969545,-170.67212611101962,48.78343318091777,False
0.3,DAHook,net_result_delta,-112.27340607127189,-172.5267187360354,-60.83802046662424,True
0.3,MEVChargeHook,net_result_delta,-175.3308833119462,-308.97695344216015,-41.367119705688765,True
0.3,ABHook,net_result_delta,-186.77653368555292,-255.3280363095733,-133.52303359290414,True
0.3,VolatilityHook,net_result_delta,-214.34327701723018,-309.12578809763977,-171.8995052623111,True
0.3,BAHook,net_result_tt_delta,-0.32303638754257236,-88.38933312725209,234.030055812201,False
0.3,DAHook,net_result_tt_delta,-35.547807956593445,-87.35908013333668,-4.870089902865288,True
0.3,MEVChargeHook,net_result_tt_delta,-147.58941118180257,-263.60544086028005,9.884762522350009,False
0.3,ABHook,net_result_tt_delta,-164.23792785747514,-244.89287353161131,-119.72003606055046,True
0.3,VolatilityHook,net_result_tt_delta,-209.1458301487408,-274.9475136403262,-99.05849137763028,True
1.0,BAHook,net_result_delta,-100.2150102186356,-453.4242224010512,349.5231332607191,False
1.0,DAHook,net_result_delta,-235.24160966749957,-380.9055705292204,-103.89525539055535,True
1.0,ABHook,net_result_delta,-459.92465986685215,-630.4866537301291,-284.25422555047044,True
1.0,VolatilityHook,net_result_delta,-751.6137004326724,-1068.9222272356883,-280.1868484686379,True
1.0,MEVChargeHook,net_result_delta,-912.5005345415714,-1522.3884153385898,-728.0431603200119,True
1.0,BAHook,net_result_tt_delta,-39.12266532353715,-323.1447521613027,246.030049959581,False
1.0,DAHook,net_result_tt_delta,-221.85219383666708,-339.2034082771978,-25.668062666479727,True
1.0,ABHook,net_result_tt_delta,-437.4109733252742,-625.3524815945461,-291.04677734287543,True
1.0,VolatilityHook,net_result_tt_delta,-646.9096094494245,-925.7814978650165,-234.14359425368207,True
1.0,MEVChargeHook,net_result_tt_delta,-920.4088805661679,-1693.1558660519108,-626.5752877382201,True
3.0,BAHook,net_result_delta,-139.7720528087848,-797.0094132449785,858.2033585454592,False
3.0,DAHook,net_result_delta,-350.2790572253698,-769.1755268411421,-127.70630275981057,True
3.0,ABHook,net_result_delta,-759.7666107149926,-1169.3286505104752,-491.88256999911823,True
3.0,VolatilityHook,net_result_delta,-1080.549837398753,-2197.4751779951603,-365.31130402642043,True
3.0,MEVChargeHook,net_result_delta,-3023.2052006083304,-5061.807536227687,-2147.6627695056895,True
3.0,BAHook,net_result_tt_delta,44.16906293488637,-1111.9344153545164,566.0379649595425,False
3.0,DAHook,net_result_tt_delta,-331.93889826078475,-737.6626861458842,-99.38313715593176,True
3.0,ABHook,net_result_tt_delta,-733.6512654867338,-1132.0334493426299,-472.29165121494043,True
3.0,VolatilityHook,net_result_tt_delta,-1133.9469795594396,-2143.642317219828,-514.0572617440844,True
3.0,MEVChargeHook,net_result_tt_delta,-2896.174475684774,-5140.625420726077,-1953.6341044431074,True
