policy,regime,mean,sem,size,value
ABHook,high,15228.135693304417,1862.561770551061,216,net_result
ABHook,low,8412.318350077061,347.53091164708707,216,net_result
ABHook,mid,10405.547056595316,407.7285331213232,216,net_result
BAHook,high,16510.140907264806,1797.2257751023603,216,net_result
BAHook,low,8413.3754264571,354.91947938790963,216,net_result
BAHook,mid,10536.93404461954,424.3496440641766,216,net_result
DAHook,high,15939.792476253737,1809.8196169891576,216,net_result
DAHook,low,8580.175161338579,351.48630389512766,216,net_result
DAHook,mid,10608.017854775479,413.338684066947,216,net_result
MEVChargeHook,high,15164.50149589698,1784.568691363068,216,net_result
MEVChargeHook,low,8041.584323313191,342.9769861486407,216,net_result
MEVChargeHook,mid,9768.784956298581,375.03594878386633,216,net_result
MyHook@10000,high,10831.313267341142,1738.008348235528,216,net_result
MyHook@10000,low,5690.967745781992,244.17984287938114,216,net_result
MyHook@10000,mid,7286.1427846934275,282.0287815144504,216,net_result
MyHook@3000,high,16007.107512117049,1869.4494092552052,216,net_result
MyHook@3000,low,8801.578341274677,349.35425630482416,216,net_result
MyHook@3000,mid,10861.734285607832,414.0879151511218,216,net_result
MyHook@500,high,-1281.9927664766658,1924.975700477685,216,net_result
MyHook@500,low,2821.139100778143,136.09554830771316,216,net_result
MyHook@500,mid,3392.595326595643,148.96478432316576,216,net_result
MyHook@6000,high,16534.279168798334,1827.5608855450532,216,net_result
MyHook@6000,low,8682.468213246113,349.0448359070742,216,net_result
MyHook@6000,mid,10580.119026267774,407.6081065161297,216,net_result
VolatilityHook,high,14708.9161940628,1774.8691060609067,216,net_result
VolatilityHook,low,7543.796138071083,318.9247005755639,216,net_result
VolatilityHook,mid,9750.610391632355,420.4905918407098,216,net_result
