policy,regime,mean,sem,size,value
ABHook,high,18026.49571016668,686.580735107894,216,net_result_tt
ABHook,low,8158.850431291395,345.6691193712247,216,net_result_tt
ABHook,mid,9723.651550637398,385.52328035440297,216,net_result_tt
BAHook,high,19240.332189619126,733.6584392422003,216,net_result_tt
BAHook,low,8221.162970296415,354.01685405255824,216,net_result_tt
BAHook,mid,9927.93717477779,406.6781489463561,216,net_result_tt
DAHook,high,18683.81722420893,694.1875290664713,216,net_result_tt
DAHook,low,8338.317657664978,350.51523126340516,216,net_result_tt
DAHook,mid,9960.616422975694,393.30827878326494,216,net_result_tt
MEVChargeHook,high,17942.29783923586,668.7957577764222,216,net_result_tt
MEVChargeHook,low,7813.990380387676,342.5158390706883,216,net_result_tt
MEVChargeHook,mid,9136.806111211641,357.9252264122244,216,net_result_tt
MyHook@10000,high,13619.089804212826,544.9152822953899,216,net_result_tt
MyHook@10000,low,5572.612939583593,240.48079051513963,216,net_result_tt
MyHook@10000,mid,6651.254198136816,252.23472156165812,216,net_result_tt
MyHook@3000,high,18809.992165586707,692.1902056272091,216,net_result_tt
MyHook@3000,low,8543.648504731791,347.662509906302,216,net_result_tt
MyHook@3000,mid,10171.956078624302,390.4451035719441,216,net_result_tt
MyHook@500,high,1550.6854173253607,616.0599355235615,216,net_result_tt
MyHook@500,low,2490.5991376352813,130.18085820812436,216,net_result_tt
MyHook@500,mid,2545.082351909517,128.27485541403786,216,net_result_tt
MyHook@6000,high,19310.85465193458,693.0908882365313,216,net_result_tt
MyHook@6000,low,8473.793134321711,348.55952854531745,216,net_result_tt
MyHook@6000,mid,9948.740471915306,385.5637868702698,216,net_result_tt
VolatilityHook,high,17541.856698150463,687.5204902707353,216,net_result_tt
VolatilityHook,low,7301.921104109235,314.89174371104065,216,net_result_tt
VolatilityHook,mid,9104.078597167289,396.01714846332004,216,net_result_tt
