policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
VolatilityHook,high,5000000000,net_result_delta,500.5453486795677,-156.88178741685988,979.8913156115814,48
VolatilityHook,high,5000000000,net_result_tt_delta,500.61830217089937,-99.57149388337348,907.056766436097,48
VolatilityHook,high,20000000000,net_result_delta,-494.7056645473749,-862.0822150560562,79.45400834911925,48
VolatilityHook,high,20000000000,net_result_tt_delta,-430.43304985733084,-930.5257690604267,191.20595167587453,48
VolatilityHook,high,80000000000,net_result_delta,-1729.768157869782,-2420.8879892982404,-952.5608911964555,48
VolatilityHook,high,80000000000,net_result_tt_delta,-1399.962533390507,-2109.924443571406,-867.5586305991155,48
VolatilityHook,mid,5000000000,net_result_delta,-149.63284021157142,-336.93607884531275,102.46494153563071,48
VolatilityHook,mid,5000000000,net_result_tt_delta,-26.99780974357691,-232.88911877022292,91.03065659871027,48
VolatilityHook,mid,20000000000,net_result_delta,-873.6460632562894,-1090.9611162862202,-703.2220408858041,48
VolatilityHook,mid,20000000000,net_result_tt_delta,-828.7054547909011,-1040.2461556824883,-607.3950579174052,48
VolatilityHook,mid,80000000000,net_result_delta,-1490.2324684697987,-1669.9054033294506,-1331.2486904838884,48
VolatilityHook,mid,80000000000,net_result_tt_delta,-1481.833749057338,-1603.8110437647074,-1292.2177343993988,48
VolatilityHook,low,5000000000,net_result_delta,-314.6291074819014,-457.83010515863134,-214.49072022337168,48
VolatilityHook,low,5000000000,net_result_tt_delta,-341.7450302320008,-445.0598061320479,-174.32505830259106,48
VolatilityHook,low,20000000000,net_result_delta,-790.3990817969095,-892.6960425208708,-711.4448252484978,48
VolatilityHook,low,20000000000,net_result_tt_delta,-751.9801950835267,-819.7556255379841,-663.1293555668058,48
VolatilityHook,low,80000000000,net_result_delta,-1099.4810062442725,-1236.7066077309514,-885.4174947760775,48
VolatilityHook,low,80000000000,net_result_tt_delta,-1100.5791600669595,-1343.9822682479644,-844.7362822472755,48
BAHook,high,5000000000,net_result_delta,1555.8201284083016,894.2121350385969,2500.602162318639,48
BAHook,high,5000000000,net_result_tt_delta,1481.0229415142448,730.0614605984829,2106.2032880432816,48
BAHook,high,20000000000,net_result_delta,478.6524920121519,45.57560182148882,1341.7822322752436,48
BAHook,high,20000000000,net_result_tt_delta,502.2342942000457,-30.226985112289185,1269.517653314313,48
BAHook,high,80000000000,net_result_delta,-822.4249177633355,-1360.2737037764055,-144.73235870064673,48
BAHook,high,80000000000,net_result_tt_delta,-291.8191680720505,-1175.180749900771,95.67508790461852,48
BAHook,mid,5000000000,net_result_delta,366.68524637150404,115.46090360713788,571.0676534527738,48
BAHook,mid,5000000000,net_result_tt_delta,460.7718029274479,207.41485621749507,761.4177101667228,48
