operating_point,policy,estimate,n_windows,median,ci_low,ci_high
κ = 1.0,VolatilityHook,matrix,48,500.5453486795677,-156.88178741685988,979.8913156115814
κ = 1.0,VolatilityHook,s0,16,920.5697674172789,-708.0980761097198,2212.120479604484
κ = 1.0,VolatilityHook,s1,16,1249.1657421390373,141.70795689970691,2109.70946550816
κ = 1.0,VolatilityHook,s2,16,1158.0155811513087,355.5213452241733,1973.6329615976938
κ = 1.0,VolatilityHook,s3,16,629.8729709596737,-748.3282457903588,2075.7293146143274
κ = 1.0,VolatilityHook,s4,16,138.05861488801384,-385.0109405445419,1206.522597505842
κ = 1.0,BAHook,matrix,48,1555.8201284083016,894.2121350385969,2500.602162318639
κ = 1.0,BAHook,s0,16,1704.0927096889227,576.9027780536962,3354.1391829838685
κ = 1.0,BAHook,s1,16,1380.3869704777926,975.7157882725005,2772.7167006564705
κ = 1.0,BAHook,s2,16,1106.3681368644702,-117.57324456072456,3020.6026220062995
κ = 1.0,BAHook,s3,16,1566.1466444063772,523.8543140798865,3287.1136550261435
κ = 1.0,BAHook,s4,16,1285.729933074852,-83.64732400458888,2519.1939712131734
κ = 1.0,DAHook,matrix,48,237.42911563983216,-13.543351801763492,612.1855141115811
κ = 1.0,DAHook,s0,16,-213.56544862060036,-972.1139334217733,519.6566910080364
κ = 1.0,DAHook,s1,16,74.37031098715488,-400.6352501601614,779.5723163805415
κ = 1.0,DAHook,s2,16,-87.03814809017604,-714.3357492328105,403.39547645766106
κ = 1.0,DAHook,s3,16,167.2434480746815,-365.17385761110927,538.3317758019984
κ = 1.0,DAHook,s4,16,61.989566041163926,-387.53675625531105,636.9862460505465
κ = 1.0,ABHook,matrix,48,-284.2512954247013,-365.9122091265126,-214.92237237897643
κ = 1.0,ABHook,s0,16,-267.177842889414,-524.0166170581779,-199.03516218606455
κ = 1.0,ABHook,s1,16,-277.5863937898257,-463.36971105384146,-143.12369369434236
κ = 1.0,ABHook,s2,16,-358.3651667629865,-553.7507679415685,-247.91877233120613
κ = 1.0,ABHook,s3,16,-311.2073012823066,-502.9793021205078,-71.59993781627236
κ = 1.0,ABHook,s4,16,-181.6931026165421,-348.788934520926,-49.74701599092077
κ = 1.0,MEVChargeHook,matrix,48,-1231.7182640522697,-2402.265319622711,-584.4602174234242
κ = 1.0,MEVChargeHook,s0,16,-1349.2147473397526,-3404.5862095448974,1384.0556208172857
κ = 1.0,MEVChargeHook,s1,16,-1325.5688362454175,-3067.769984295155,305.41638236646395
κ = 1.0,MEVChargeHook,s2,16,-1680.503121671185,-2972.2490004778847,104.26848932365101
κ = 1.0,MEVChargeHook,s3,16,-577.6573161046172,-1422.0212589462535,303.00601779641147
κ = 1.0,MEVChargeHook,s4,16,-804.6592275281873,-1825.231557450028,207.04164823864267
κ = 0.1,VolatilityHook,matrix,48,307.5295117036849,31.5449464078265,742.0343121008054
κ = 0.1,VolatilityHook,s0,16,339.32213422617815,158.966138296586,1208.6785674229905
κ = 0.1,VolatilityHook,s1,16,535.5902443194201,165.49117646162858,1586.2752805146697
κ = 0.1,VolatilityHook,s2,16,874.5400113028218,159.3592470344811,1798.7331855716666
κ = 0.1,VolatilityHook,s3,16,866.1281345552352,72.29409890441093,2216.2139591402392
κ = 0.1,VolatilityHook,s4,16,995.2391890809195,304.2381347172304,2242.2470005788928
κ = 0.1,BAHook,matrix,48,459.5875346676771,-0.5930124860897195,1216.7683969541686
κ = 0.1,BAHook,s0,16,428.09331815035875,-14.388612195572023,1480.0191022267136
κ = 0.1,BAHook,s1,16,979.5591965535468,237.04722744191895,1255.7424903876754
κ = 0.1,BAHook,s2,16,788.5408771436306,311.3737118518393,1619.6120916217697
κ = 0.1,BAHook,s3,16,842.0405992331621,-77.85442863661228,1603.6926685573826
κ = 0.1,BAHook,s4,16,1646.6984381010625,333.18936069153733,2387.353626486385
κ = 0.1,DAHook,matrix,48,246.1505063028444,58.62218282441154,563.3491729155467
κ = 0.1,DAHook,s0,16,264.24273873078073,58.62218282441154,563.3491729155467
κ = 0.1,DAHook,s1,16,359.03155868990564,13.290916604480117,559.137442526904
κ = 0.1,DAHook,s2,16,244.81840739072402,33.30974674341269,492.5768906711172
κ = 0.1,DAHook,s3,16,172.64176168206814,-14.377969626458253,474.34774352560726
κ = 0.1,DAHook,s4,16,403.04618803915673,119.02146919149163,986.771384305046
κ = 0.1,ABHook,matrix,48,-104.18537517569939,-139.46319111377124,-78.13124446732036
κ = 0.1,ABHook,s0,16,-106.19537807989173,-191.62040745942386,2.1059312441420843
κ = 0.1,ABHook,s1,16,-129.52368709765005,-204.73411004294394,-84.24945454525869
κ = 0.1,ABHook,s2,16,-138.31210166608753,-231.7051998065799,-67.12700456413859
κ = 0.1,ABHook,s3,16,-100.51758597644334,-156.10704740918118,-85.55501905549522
κ = 0.1,ABHook,s4,16,-125.20926212512722,-167.8008846668256,-94.15570041205046
κ = 0.1,MEVChargeHook,matrix,48,-2.2524420490781267,-83.10937909814947,371.1190136818477
κ = 0.1,MEVChargeHook,s0,16,54.395541146328924,-31.762738963880793,1389.4316362026584
κ = 0.1,MEVChargeHook,s1,16,491.9226429465948,-258.7557466006374,1577.4053345263442
κ = 0.1,MEVChargeHook,s2,16,458.3978398584327,-181.18337407500803,1557.7975384401243
κ = 0.1,MEVChargeHook,s3,16,350.1379885028946,-106.79759643834177,1481.2699579164364
κ = 0.1,MEVChargeHook,s4,16,488.707138685475,-54.893223136916276,1348.822332557349
