policy,regime,mean,sem,size,value
ABHook,high,3644.957914545396,412.8789496520213,216,net_result_tt
ABHook,low,2144.109361311324,138.61426802144823,216,net_result_tt
ABHook,mid,2411.076395756602,137.2993798016042,216,net_result_tt
BAHook,high,4647.14543065532,359.5244119370319,216,net_result_tt
BAHook,low,2161.559126591414,137.21422119388347,216,net_result_tt
BAHook,mid,2527.9328014380058,146.12729419298682,216,net_result_tt
DAHook,high,4187.1241860599785,388.78612081986535,216,net_result_tt
DAHook,low,2222.9503618189956,140.86326532797196,216,net_result_tt
DAHook,mid,2516.7025036645828,139.85603479947767,216,net_result_tt
MEVChargeHook,high,4278.72745159749,329.22683228947056,216,net_result_tt
MEVChargeHook,low,2095.573732748892,135.94340015590717,216,net_result_tt
MEVChargeHook,mid,2406.901061932402,137.17482417589105,216,net_result_tt
MyHook@10000,high,3501.390588674007,260.63415183447813,216,net_result_tt
MyHook@10000,low,1602.1836696057262,95.15723685388896,216,net_result_tt
MyHook@10000,mid,1881.5572190210532,99.55166705280293,216,net_result_tt
MyHook@3000,high,4041.1534279146517,407.9826379214343,216,net_result_tt
MyHook@3000,low,2288.233591786475,140.86096801690576,216,net_result_tt
MyHook@3000,mid,2598.0704429264824,140.10122328680112,216,net_result_tt
MyHook@500,high,-3231.3181777663,649.5471352026441,216,net_result_tt
MyHook@500,low,374.04267897358045,65.86937808288644,216,net_result_tt
MyHook@500,mid,17.175128000155105,70.78121970333095,216,net_result_tt
MyHook@6000,high,5021.198122465552,340.6166909788944,216,net_result_tt
MyHook@6000,low,2287.1433152170493,134.09184036458657,216,net_result_tt
MyHook@6000,mid,2724.6624476599713,141.5485981827935,216,net_result_tt
VolatilityHook,high,4178.71889925097,317.13463046204305,216,net_result_tt
VolatilityHook,low,1875.3297791909117,123.0201867515543,216,net_result_tt
VolatilityHook,mid,2211.8764173587515,134.10660068488116,216,net_result_tt
