policy,pair,n,p5_bps,median_bps,p95_bps,share_at_floor,share_at_cap
MyHook@10000,ETH/SHIB,43574,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/SHIB,102239,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/SHIB,200212,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/SHIB,380162,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/SHIB,135938,29.47,36.06,64.34,0.0,0.017515337874619313
MEVChargeHook,ETH/SHIB,86731,30.0,30.0,100.0,0.5098292421394888,0.49017075786051123
DAHook,ETH/SHIB,187289,6.0,30.0,60.0,0.00868710922691669,0.0003043424867450838
BAHook,ETH/SHIB,125207,6.0,45.0,95.0,0.046570878624997,0.0342233261718594
ABHook,ETH/SHIB,189735,27.2,29.93,32.59,0.0,0.0
MyHook@10000,ETH/USDC,42710,100.0,100.0,100.0,0.0,0.0
MyHook@6000,ETH/USDC,101693,60.0,60.0,60.0,0.0,0.0
MyHook@3000,ETH/USDC,203569,30.0,30.0,30.0,0.0,0.0
MyHook@500,ETH/USDC,387609,5.0,5.0,5.0,0.0,0.0
VolatilityHook,ETH/USDC,158730,25.7,31.95,50.94,0.0,0.0026712026712026713
MEVChargeHook,ETH/USDC,164917,30.0,30.0,94.0,0.8979304741172832,0.04864265054542588
DAHook,ETH/USDC,191010,6.0,30.0,61.0,0.008868645620648133,0.00015182451180566464
BAHook,ETH/USDC,126051,5.0,45.0,95.0,0.04709998334007664,0.033549912337069915
ABHook,ETH/USDC,193340,28.12,29.92,31.67,0.0,0.0
MyHook@10000,USDC/USDT,34136,100.0,100.0,100.0,0.0,0.0
MyHook@6000,USDC/USDT,85812,60.0,60.0,60.0,0.0,0.0
MyHook@3000,USDC/USDT,170856,30.0,30.0,30.0,0.0,0.0
MyHook@500,USDC/USDT,322363,5.0,5.0,5.0,0.0,0.0
VolatilityHook,USDC/USDT,180315,20.47,21.12,21.5,0.0,0.0
MEVChargeHook,USDC/USDT,159765,30.0,30.0,30.0,1.0,0.0
DAHook,USDC/USDT,159546,6.0,30.0,60.0,0.009338999410828224,0.00028205031777669135
BAHook,USDC/USDT,150220,10.0,30.0,55.0,0.016043136732791907,0.00039275728930901347
ABHook,USDC/USDT,160454,29.53,29.92,30.28,0.0,0.0
