policy,gwei,net_result_delta
ABHook,5.0,-368.08754630510884
ABHook,20.0,-803.3045377096787
ABHook,80.0,-1513.1200902632663
BAHook,5.0,680.9374831402929
BAHook,20.0,-82.45099336271596
BAHook,80.0,-1541.8466571151948
DAHook,5.0,36.83815697116734
DAHook,20.0,-372.4479240694891
DAHook,80.0,-1118.5267301611966
MEVChargeHook,5.0,-2173.9353004054938
MEVChargeHook,20.0,-2411.3534912934592
MEVChargeHook,80.0,-2639.1144046028567
VolatilityHook,5.0,-1256.6455466362786
VolatilityHook,20.0,-2189.518437854007
VolatilityHook,80.0,-3519.0323121285182
MyHook@500,5.0,-23769.97868167708
MyHook@500,20.0,-22306.14802842625
MyHook@500,80.0,-18424.241775409733
MyHook@6000,5.0,-974.5949777037567
MyHook@6000,20.0,-836.6805697101445
MyHook@6000,80.0,-363.2279297117457
MyHook@10000,5.0,-11457.135086882972
MyHook@10000,20.0,-10526.08876589447
MyHook@10000,80.0,-7787.73253243488
