policy,regime,mean,sem,size,value
ABHook,high,36251.9185246848,1881.1401503522939,216,net_result
ABHook,low,21468.584372386176,649.3220872112817,216,net_result
ABHook,mid,25291.50545812648,770.5971732856573,216,net_result
BAHook,high,37781.77966045318,1861.3743277045091,216,net_result
BAHook,low,21453.70542382723,656.5141700495807,216,net_result
BAHook,mid,25517.675277857492,798.685877778434,216,net_result
DAHook,high,36906.108236306034,1877.803825250832,216,net_result
DAHook,low,21752.575380683105,653.1315597608806,216,net_result
DAHook,mid,25583.70041522687,772.7012262748427,216,net_result
MEVChargeHook,high,35243.10473092533,1818.3844385394868,216,net_result
MEVChargeHook,low,19838.598487910902,619.5342021467715,216,net_result
MEVChargeHook,mid,23390.414114337487,702.0258251350149,216,net_result
MyHook@10000,high,25280.07770046785,1687.711390446111,216,net_result
MyHook@10000,low,13619.136333355493,404.99398678471374,216,net_result
MyHook@10000,mid,17026.35011043986,561.7567802360389,216,net_result
MyHook@3000,high,37348.35849426847,1902.647964103083,216,net_result
MyHook@3000,low,22235.144706740906,652.14959853558,216,net_result
MyHook@3000,mid,26113.01732846615,776.6990276254547,216,net_result
MyHook@500,high,5453.5920633764645,1897.4752081599825,216,net_result
MyHook@500,low,7330.717825245434,221.63962757641306,216,net_result
MyHook@500,mid,8411.842155340566,254.34149591921857,216,net_result
MyHook@6000,high,37536.82653590083,1864.7491876701274,216,net_result
MyHook@6000,low,21009.463929793823,610.1972578292517,216,net_result
MyHook@6000,mid,24975.726586655226,760.1511956523833,216,net_result
VolatilityHook,high,34766.55969043974,1821.9596260569795,216,net_result
VolatilityHook,low,19847.0809783062,622.6445026657319,216,net_result
VolatilityHook,mid,24117.683564110783,813.418367195737,216,net_result
