policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
VolatilityHook,high,5000000000,net_result_delta,-11.679068859637482,-276.3337314254277,531.3368794273265,48
VolatilityHook,high,5000000000,net_result_tt_delta,-140.17162735857346,-626.8831377863225,835.6638598929494,48
VolatilityHook,high,20000000000,net_result_delta,-1052.5056483300723,-1992.4350776869032,-254.72900660053347,48
VolatilityHook,high,20000000000,net_result_tt_delta,-1406.5779335504558,-1770.3350096688155,-322.7126141917688,48
VolatilityHook,high,80000000000,net_result_delta,-2934.6009583799478,-4298.78713744651,-2239.7668000476842,48
VolatilityHook,high,80000000000,net_result_tt_delta,-2802.7029606617834,-3608.393646235252,-1736.3562911383924,48
VolatilityHook,mid,5000000000,net_result_delta,138.03567551532524,-285.17491347226314,498.6864010066929,48
VolatilityHook,mid,5000000000,net_result_tt_delta,240.74932511435327,-105.15855094720791,517.4140821908113,48
VolatilityHook,mid,20000000000,net_result_delta,-828.4281297255457,-1341.2990799001273,-365.3934211132164,48
VolatilityHook,mid,20000000000,net_result_tt_delta,-786.1333788407846,-1198.1797571713432,-456.1975666078324,48
VolatilityHook,mid,80000000000,net_result_delta,-2708.5481975249477,-3240.051139025498,-2131.4131907609953,48
VolatilityHook,mid,80000000000,net_result_tt_delta,-2754.875820875219,-3259.6286909016017,-1917.4816050742902,48
VolatilityHook,low,5000000000,net_result_delta,-492.1051397762494,-753.5101510756103,-58.684978910780046,48
VolatilityHook,low,5000000000,net_result_tt_delta,-395.6227116944592,-733.0714400956913,-78.24820034647928,48
VolatilityHook,low,20000000000,net_result_delta,-1174.377086569295,-1354.9223026840336,-984.436799545987,48
VolatilityHook,low,20000000000,net_result_tt_delta,-1149.6239836845543,-1349.0822525350195,-972.6864852346662,48
VolatilityHook,low,80000000000,net_result_delta,-2198.8840749302417,-2591.1205662027205,-2012.5558245234874,48
VolatilityHook,low,80000000000,net_result_tt_delta,-2150.8200814710126,-2744.9389825031994,-1931.4675643782903,48
BAHook,high,5000000000,net_result_delta,1895.8462373789152,1138.190879619091,2693.4322267949174,48
BAHook,high,5000000000,net_result_tt_delta,1989.9272811240335,1234.6665541819893,2631.618745064472,48
BAHook,high,20000000000,net_result_delta,1299.2725790985533,77.68827567005064,2718.078475093367,48
BAHook,high,20000000000,net_result_tt_delta,961.3644994033821,139.44788653364958,2428.152415248973,48
BAHook,high,80000000000,net_result_delta,-781.1437558782818,-1564.1929281345656,-71.66236485584523,48
BAHook,high,80000000000,net_result_tt_delta,-1168.214222038725,-1868.0221362116426,-131.39486176979517,48
BAHook,mid,5000000000,net_result_delta,872.9169848812089,264.3442524760467,1328.6326846092252,48
BAHook,mid,5000000000,net_result_tt_delta,995.2287895986392,452.35343933366676,1398.770229291229,48
BAHook,mid,20000000000,net_result_delta,-117.07507390237151,-786.4669805438934,31.025404628421256,48
BAHook,mid,20000000000,net_result_tt_delta,-148.09848877269542,-673.2244874563021,211.30904791472312,48
BAHook,mid,80000000000,net_result_delta,-1640.4374662124492,-2145.9162513188785,-1088.693780758169,48
BAHook,mid,80000000000,net_result_tt_delta,-1244.5649885889761,-1988.5924869299415,-1106.5591796115878,48
BAHook,low,5000000000,net_result_delta,129.79994101903685,-161.4412242973558,447.74312030157125,48
