minute,median,p25,p75,pair
0,5873.774012866759,2717.4927882055654,13328.509180736848,ETH/SHIB
1,6050.923621613754,2802.8357981716777,13785.95326717067,ETH/SHIB
2,6273.605869081234,2905.784992149214,14291.050809131795,ETH/SHIB
3,6454.299846842221,3004.860438429608,14819.650250941473,ETH/SHIB
4,6632.815318356489,3097.8334593223985,15278.455966624055,ETH/SHIB
5,6821.473220203107,3209.6899720848523,15637.92047096507,ETH/SHIB
6,6962.435022713439,3257.262732910165,15985.498835191107,ETH/SHIB
7,7118.477256276884,3323.870787961157,16250.8695345689,ETH/SHIB
8,6951.167428192554,3248.862079021061,16092.325281992957,ETH/SHIB
9,6934.565106198168,3201.2624055182855,15995.680913114755,ETH/SHIB
10,6914.4310230869405,3156.024627689719,15954.293066038601,ETH/SHIB
11,6895.132333840671,3160.3349415721013,15838.541069869982,ETH/SHIB
12,6917.129833086912,3177.399450731977,15813.92697265463,ETH/SHIB
13,6960.078561407225,3170.799934624644,15832.434939614106,ETH/SHIB
14,6976.936728519598,3143.1149774610576,15842.081546457955,ETH/SHIB
15,7000.870690406748,3127.8130915266715,15772.499396824805,ETH/SHIB
16,7006.132397398589,3109.7334987173995,15779.697439565793,ETH/SHIB
17,6926.736907196011,3086.898972801684,15666.693559713796,ETH/SHIB
18,6933.27705806105,3062.3084625587376,15519.390458874523,ETH/SHIB
19,6933.875861955709,3035.8733412704805,15405.698794733757,ETH/SHIB
20,6919.753339553771,3017.2076409544566,15393.980298187626,ETH/SHIB
21,6947.3794431962,3015.1695301466234,15399.644342555204,ETH/SHIB
22,6918.324227561721,2981.570872452591,15347.761243794526,ETH/SHIB
23,6904.305300584761,2959.7449516941774,15320.846460127404,ETH/SHIB
24,6945.937430525501,2997.1945669142597,15467.752652885714,ETH/SHIB
25,6995.240358913914,3019.6429960745836,15425.553930928432,ETH/SHIB
26,6972.545211218094,3024.3182970465846,15474.823178500186,ETH/SHIB
27,7015.324397424958,2993.75729671122,15508.913032476394,ETH/SHIB
28,6988.3785791901955,2980.2826084095764,15626.075906987244,ETH/SHIB
29,6981.442667860422,2977.2597267830706,15715.374533697288,ETH/SHIB
30,7030.527034668476,2998.042150580915,15800.357226466625,ETH/SHIB
31,7070.701851022496,3011.8674557590625,15823.526768936414,ETH/SHIB
32,7100.536740612225,3034.1469572053693,15878.317301767418,ETH/SHIB
33,7147.447667911203,3023.040003032114,15889.025288456482,ETH/SHIB
34,7176.131513458001,3042.244886982608,15988.537421359008,ETH/SHIB
35,7148.1157982677505,3022.0445128796873,15929.397354253355,ETH/SHIB
36,7095.466422086642,3039.0558526101904,15931.22393947764,ETH/SHIB
37,7060.630434000503,3033.9805767606845,15860.141730774847,ETH/SHIB
38,6997.428686370026,3052.6962035220436,15839.242106907293,ETH/SHIB
39,6899.9248804908475,3001.9801617521484,15680.895813196183,ETH/SHIB
40,6843.128515840111,2971.4048165275167,15712.668496275988,ETH/SHIB
41,6780.986652779522,2956.6344064758773,15605.036904851306,ETH/SHIB
42,6702.579233065353,2963.7347170532366,15408.16794186622,ETH/SHIB
43,6623.525946421494,2924.065663157576,15192.151668579445,ETH/SHIB
44,6535.937246063784,2887.85084780229,14968.074230332564,ETH/SHIB
45,6407.930881058464,2847.94065921733,14787.975568965394,ETH/SHIB
46,6291.6659513969535,2832.2266092104733,14567.937083149738,ETH/SHIB
47,6232.401351558429,2771.0606921153885,14455.37967596569,ETH/SHIB
48,6146.9026411775185,2746.869760816549,14310.9083435502,ETH/SHIB
49,6077.674235035491,2720.9108000998212,14060.848650443777,ETH/SHIB
50,6053.367267125318,2714.4549974645397,13943.180930741979,ETH/SHIB
51,6012.047891386174,2686.2692361415366,13857.78679311033,ETH/SHIB
52,5951.18839784113,2662.9238875995607,13767.09416208953,ETH/SHIB
53,6003.759522170533,2644.493699292287,13778.025535513863,ETH/SHIB
54,6035.232780862464,2679.8078617532706,13824.86173296161,ETH/SHIB
55,6009.514607988745,2680.922391510874,13877.216349332908,ETH/SHIB
56,6070.07647775664,2683.5730652897096,13863.16119053538,ETH/SHIB
57,6096.346425195297,2704.047909133454,13954.841816770533,ETH/SHIB
58,6153.407495669728,2745.031565042128,14076.99940546881,ETH/SHIB
59,6215.232352596204,2790.3299502682285,14145.660856691055,ETH/SHIB
60,6295.013252274611,2792.3510049097868,14288.311920071044,ETH/SHIB
61,6327.976734499767,2788.8855503579452,14488.757437863847,ETH/SHIB
62,6368.2696487528,2820.6419376974504,14592.219614569503,ETH/SHIB
63,6442.267762174739,2865.9372808769285,14725.476505115179,ETH/SHIB
64,6479.58230210425,2881.9292500441165,14997.578750470415,ETH/SHIB
65,6524.70465363109,2902.9059329353736,15305.161979410328,ETH/SHIB
66,6594.159688792522,2925.930316422282,15606.332105726335,ETH/SHIB
67,6731.345328991615,2959.97746250313,15900.433780836074,ETH/SHIB
68,6729.076001455609,2976.143854474346,15989.812683966065,ETH/SHIB
69,6757.456495259831,2943.320792451066,16048.237313830197,ETH/SHIB
70,6818.91184445022,2938.548849271598,16070.721106773952,ETH/SHIB
71,6814.113104410348,2945.8850241673154,16237.90153947168,ETH/SHIB
72,6782.215240250764,2942.6609162949235,16376.427259907092,ETH/SHIB
73,6772.410820583504,2929.4750583673926,16356.056013810241,ETH/SHIB
74,6795.090275874537,2948.2033847738185,16460.408420004926,ETH/SHIB
